Category Name,2nd Category,3rd Category,brand,Manufacture pin,Product Name,stock,description,Retail price inc GST, url, Image Url
Computer Systems,Portable Computers,Tablet Accessory,Targus,74623,VersaVu Classic for 10.5" iPad Pro Black,with In Stock,VersaVu Classic for 10.5" iPad Pro Black,58.6800,http://www.citywidetech.co.nz/p.aspx?65039,
Computer Systems,Portable Computers,Tablet Accessory,Targus,74625,Pro-Tek 3D Protection Case for 10.5" iPad Pro Black,with In Stock,Pro-Tek 3D Protection Case for 10.5" iPad Pro Black,48.9800,http://www.citywidetech.co.nz/p.aspx?65040,
Computer Systems,Computer Peripherals,Computer Accessories,Lenovo,60490,LENOVO 0A65638 THINKCENTRE TINY 500GB 5400 RPM HARD DRIVE ADAPTER KIT,with In Stock,LENOVO 0A65638 THINKCENTRE TINY 500GB 5400 RPM HARD DRIVE ADAPTER KIT,213.9200,http://www.citywidetech.co.nz/p.aspx?65041,
Computer Systems,Computer Peripherals,Computer Accessories,Lenovo,61344,LENOVO 0B47374 THINKCENTRE TINY VESA MOUNT,Out of stock,LENOVO 0B47374 THINKCENTRE TINY VESA MOUNT,23.5900,http://www.citywidetech.co.nz/p.aspx?65042,
Computer Systems,Computer Peripherals,Computer Accessories,Lenovo,63268,LENOVO THINKCENTRE TINY L-BRACKET MOUNTING KIT,with In Stock,LENOVO THINKCENTRE TINY L-BRACKET MOUNTING KIT,51.6800,http://www.citywidetech.co.nz/p.aspx?65043,
Computer Systems,Computer Components,Server Board,Asus,73282,ASUS TS300-E9-PS4 INTEL C236 1151 4XDDR4-2133 SATA3 M.2 RAID SERVER,with In Stock,ASUS TS300-E9-PS4 INTEL C236 1151 4XDDR4-2133 SATA3 M.2 RAID SERVER,1511.6800,http://www.citywidetech.co.nz/p.aspx?65044,
Storage Media,,USB Flash Drive,Transcend,64156,TRANSCEND 32GB JETFLASH 380 SILVER USB ON-THE-GO DRIVE,with In Stock,TRANSCEND 32GB JETFLASH 380 SILVER USB ON-THE-GO DRIVE,19.6100,http://www.citywidetech.co.nz/p.aspx?65045,
Storage Media,,USB Flash Drive,Transcend,62804,TRANSCEND 32GB JETFLASH 760 (PURPLE) USB 3.0,Out of stock,TRANSCEND 32GB JETFLASH 760 (PURPLE) USB 3.0,26.3100,http://www.citywidetech.co.nz/p.aspx?65046,
Storage Media,,Memory Card,Transcend,57573,TRANSCEND 32GB SDHC - CLASS 10,Out of stock,TRANSCEND 32GB SDHC - CLASS 10,27.2000,http://www.citywidetech.co.nz/p.aspx?65047,
Storage Media,,Memory Card,Transcend,62808,TRANSCEND 32GB SDHC - CLASS 10 UHS-I,Out of stock,TRANSCEND 32GB SDHC - CLASS 10 UHS-I,24.6700,http://www.citywidetech.co.nz/p.aspx?65048,
Computer Systems,Computer Components,SSD,Transcend,71558,TRANSCEND 220S SERIES 2.5" SATA3 480GB SOLID STATE DISK,Out of stock,TRANSCEND 220S SERIES 2.5" SATA3 480GB SOLID STATE DISK,277.0400,http://www.citywidetech.co.nz/p.aspx?65049,
